applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
b82f9ece-f0ee-487f-a1c3-98136bb68e0a,Female,Yes,1,Graduate,Yes,11861,43,409,360,1,Semiurban,No
f32487ac-5abb-4206-80ad-d6bc85d7794c,Male,Yes,3,Not Graduate,Yes,5534,2019,454,360,0,Rural,No
258c1a0c-92ae-4589-9a37-878bc3caebc2,Female,No,3,Not Graduate,No,8030,859,328,180,0,Rural,No
769003c5-cac0-4c93-98b5-7deb8fdb77d3,Male,Yes,1,Graduate,No,13774,1860,183,300,0,Urban,No
3b4bb8af-648b-44ad-84bd-2ed034cc7567,Female,No,0,Graduate,No,3159,3842,146,300,0,Rural,No
c3d238b4-ffb6-4008-87a5-556cff320da0,Male,No,2,Graduate,Yes,6514,3133,117,300,0,Urban,No
1d1d6342-d988-4963-ac5d-57d301b5cdf7,Male,Yes,0,Not Graduate,Yes,8675,836,108,240,1,Rural,Yes
d05bb884-0486-40c6-9159-9b7ee504de92,Female,Yes,2,Graduate,No,12618,2302,381,240,1,Urban,No
3478e90f-1a72-4a5b-a30c-d5c77518be8d,Male,Yes,2,Not Graduate,No,10462,1548,66,180,1,Urban,Yes
c6f56f53-cf52-41a8-a00e-7f617c7cf3ba,Male,No,1,Not Graduate,Yes,7643,4758,361,300,1,Semiurban,No
4eb73509-422e-4eec-803b-76f408826730,Male,Yes,2,Graduate,Yes,8507,3067,334,360,1,Rural,No
a298274f-f544-4fcc-a764-22706e295de5,Female,Yes,3,Not Graduate,No,11095,2431,305,240,1,Urban,No
0235d10b-1897-43a5-b8cb-1a424c9f328f,Female,No,0,Not Graduate,No,5175,813,401,300,1,Urban,No
21244915-a4ef-4793-9b49-474383fe2fd1,Male,No,0,Graduate,Yes,2065,4392,289,240,0,Urban,No
02493415-db06-4bd8-9274-ff231759f06f,Male,No,1,Not Graduate,No,10666,3242,414,480,1,Urban,No
587b4649-4911-4053-b581-63629b910fea,Female,Yes,2,Not Graduate,Yes,13250,3489,298,480,1,Urban,Yes
ea70f078-02a3-418f-8e67-fb95b7673c8d,Female,Yes,1,Graduate,Yes,3287,1269,290,180,0,Urban,No
c8ce7525-5f4a-4ef3-bd74-da84dd837691,Male,Yes,2,Not Graduate,Yes,2812,4231,234,480,1,Rural,Yes
50d76410-33f8-4174-bb63-7afb35ddea21,Male,Yes,2,Graduate,Yes,11095,211,301,240,0,Urban,No
c1c1994f-2c91-4401-921d-dde60c60c368,Female,Yes,2,Graduate,Yes,12364,385,300,480,1,Urban,No
cca60b03-01f7-45d0-a10a-5b758be44911,Male,No,3,Graduate,No,3963,4597,255,300,0,Urban,No
7bbf25e2-5b50-4592-a45e-79934cf30c59,Male,Yes,3,Graduate,No,7284,2084,354,240,0,Semiurban,No
aa72dd76-d805-41b8-81c5-daa9ed665c39,Male,Yes,2,Not Graduate,No,8674,4628,184,240,1,Semiurban,Yes
ca7b582d-9638-47eb-b40c-67d80db67331,Male,No,3,Graduate,No,11814,646,448,360,1,Semiurban,No
f1ba513f-d95b-45b7-9ee9-0841ed4da4db,Female,Yes,3,Graduate,No,6949,541,136,360,0,Semiurban,No
1c477e7f-7cb8-4aaf-942f-0bcba30d3a2e,Female,Yes,3,Graduate,No,5975,2685,357,360,0,Urban,No
03b58acf-88d6-4e76-a392-4815133c646d,Female,No,1,Not Graduate,No,9731,544,367,480,0,Urban,No
ffd52ea1-52f4-4131-9c4d-fe03aef36828,Male,No,2,Not Graduate,No,10836,4104,492,360,0,Urban,No
27f461b7-db6c-4822-9de3-6d93e05a13ee,Male,No,2,Not Graduate,Yes,7641,45,103,300,0,Urban,No
40b7b2c3-455f-4266-ba8e-7302dc715bcc,Female,Yes,3,Graduate,Yes,10952,4432,288,300,1,Rural,Yes
f15d9eda-b807-4d80-b739-90b8f773fb7a,Male,Yes,2,Not Graduate,No,13635,1418,305,360,1,Semiurban,No
d1b1ac44-3a6e-4fd9-b53d-38bcccd2bc42,Male,Yes,1,Graduate,Yes,11200,3135,193,180,1,Urban,Yes
83d1db94-4d34-4035-9c16-37fe23fa79c9,Female,No,3,Graduate,Yes,11038,2378,330,240,1,Rural,No
3a3bb341-df7e-4d43-845c-f3802e58342e,Female,No,3,Not Graduate,No,14716,3518,432,480,1,Semiurban,No
78f05940-d3b2-47aa-bf03-13b4e459279e,Male,Yes,0,Graduate,Yes,3034,1462,290,180,0,Semiurban,No
8a297919-79f0-4f4d-a38c-6b9bd237964d,Female,Yes,3,Not Graduate,No,3932,3433,145,240,0,Urban,No
9c46040a-896c-448b-935d-131db8bd793c,Male,No,0,Not Graduate,Yes,4281,4266,434,240,1,Semiurban,No
d10795e6-30bd-44c0-afd9-4bf0b0594826,Male,Yes,3,Graduate,No,10380,593,294,240,0,Semiurban,No
b916310d-0f8a-415d-bf5d-35273c690c7a,Male,No,3,Not Graduate,Yes,13599,2712,254,180,0,Semiurban,No
636afa69-f028-4a33-9039-acffd0d659ed,Female,Yes,0,Not Graduate,Yes,3872,1036,146,240,1,Semiurban,Yes
bf120d9f-68c3-408c-8431-7339c10d105d,Female,Yes,0,Graduate,Yes,5987,1594,474,240,0,Urban,No
a91c0693-b5b1-419d-86d0-5fd01e52a5a7,Male,No,1,Graduate,Yes,5161,4151,351,240,1,Rural,No
b0ed9171-2287-4a4e-a821-abaea3230a86,Male,No,2,Graduate,No,2573,625,166,300,0,Urban,No
85268a80-35dd-4b94-83ec-69b08123a7a5,Male,No,0,Graduate,No,11495,4577,54,360,0,Semiurban,No
c18a2a73-1ae3-44ab-878c-dc34a4ef7089,Male,Yes,0,Not Graduate,Yes,11196,4199,117,240,0,Urban,No
3d8650e9-ab94-4391-8f73-a6be31f57b94,Male,No,0,Not Graduate,Yes,12016,4226,73,360,0,Semiurban,No
44ef3581-f791-44c8-8512-2ffbccfdcc11,Male,No,2,Not Graduate,No,13644,2174,96,180,0,Urban,No
767affbb-10db-40bc-b8a0-a6d09e05faec,Male,Yes,3,Not Graduate,Yes,13693,4632,285,360,1,Urban,Yes
d34c7b93-9460-4e14-9184-6e6a169ba5b0,Male,Yes,3,Graduate,Yes,14834,3668,330,180,0,Rural,No
d8de48ac-5422-427c-b8eb-d5753f888f83,Female,No,3,Graduate,No,5908,2477,223,360,0,Rural,No
8e6a0872-0c29-4e36-81ad-04e6008867c0,Female,Yes,2,Not Graduate,No,3367,2398,382,360,1,Rural,No
4089d4cc-ca4a-4559-886d-5294de16b98b,Male,No,0,Graduate,No,11839,4791,123,180,1,Semiurban,Yes
e101f912-67f4-445a-8c22-cee1372d6743,Male,No,1,Graduate,Yes,12596,4297,203,360,0,Rural,No
43dafd0a-7bdb-4574-8304-baf873d59cd2,Male,Yes,2,Graduate,Yes,8078,2615,298,240,0,Rural,No
6507692c-e6fb-4927-a4aa-0da3f20ba960,Male,No,1,Graduate,No,4027,3958,431,180,0,Rural,No
87027fb8-b1d7-42a1-889b-e228cac6039a,Male,Yes,1,Not Graduate,Yes,10181,4179,397,240,1,Rural,No
07aa51f0-2633-4a27-92de-6e5822d15b25,Female,No,2,Not Graduate,Yes,7038,1257,118,480,1,Urban,Yes
3cd0e6bc-37b9-43e2-8bef-5e9c12ea41e2,Male,No,1,Graduate,Yes,12386,3453,260,360,0,Semiurban,No
8b94f8dd-13d0-403e-8fe8-724574a0a24c,Female,No,3,Not Graduate,Yes,10552,1277,170,480,0,Urban,No
61bd560f-d74b-47a7-b7a7-e037cac321af,Male,No,3,Graduate,Yes,9116,1818,450,180,0,Semiurban,No
fa20de65-8467-495e-81e1-d74b3e73ea30,Female,Yes,1,Graduate,Yes,6364,4675,412,180,1,Urban,No
86d1da27-ca5c-4e1f-9b62-70b559ad152f,Male,No,2,Not Graduate,Yes,2130,1366,326,360,1,Rural,No
c4f9ed20-6fd9-47d6-9e04-90f1bb5e8043,Female,Yes,1,Graduate,No,10394,2863,457,300,0,Semiurban,No
ab7fca78-0f7c-47fb-99a7-3950754efb78,Male,No,0,Not Graduate,No,3586,3932,331,300,0,Semiurban,No
1e529af9-d423-43e2-92d4-4328f4c287ed,Female,No,1,Not Graduate,No,2723,1844,124,300,0,Semiurban,No
f50968c7-852d-47e1-8c2d-3ae4e6901c8e,Male,No,3,Graduate,No,5126,4103,230,480,1,Semiurban,Yes
79ffe6b4-9886-4c51-ab87-bf1326b7b64e,Female,Yes,1,Not Graduate,No,11779,4939,97,180,1,Semiurban,Yes
7287f050-0876-465c-8c8e-41fe97636fc1,Female,No,2,Graduate,Yes,10823,2248,150,360,0,Rural,No
cb55b984-da6d-491b-93f1-928883772651,Female,Yes,0,Graduate,Yes,13520,3175,368,240,0,Urban,No
5627d54b-deeb-45be-a8ae-53160faf763e,Female,No,0,Graduate,No,9192,2340,72,360,0,Semiurban,No
2459e6a2-2b7c-4ce1-b235-9618984fd1fa,Female,No,2,Graduate,Yes,11163,3857,103,300,0,Urban,No
e12fc729-a897-44bc-be63-b0d79df0d50a,Female,Yes,3,Graduate,No,9844,4992,391,360,1,Rural,No
d4dcbece-5176-4340-8bcc-d8289466247c,Female,Yes,2,Not Graduate,No,10958,2352,500,480,0,Rural,No
c10c6939-c2c9-4fd1-834d-99a799e9e1bd,Female,Yes,3,Graduate,No,4081,4994,482,240,0,Semiurban,No
