age,gender,married,dependents,education,employment_type,years_at_job,annual_income,coapplicant_income,credit_score,credit_history,loan_amount,loan_amount_term,loan_purpose,property_area,collateral_value,loan_status
59,Male,Yes,2,Not Graduate,Business,2,1401,707,645,Good,482,300,Education,Semiurban,634,Rejected
49,Male,No,3,Graduate,Business,4,1155,739,584,Bad,591,180,Education,Semiurban,442,Rejected
35,Female,No,0,Not Graduate,Unemployed,17,1108,7,579,Good,241,360,Other,Urban,17,Rejected
63,Female,Yes,1,Not Graduate,Self-Employed,26,508,469,490,Good,490,300,Business,Rural,119,Rejected
28,Female,No,2,Not Graduate,Self-Employed,11,852,788,623,Good,412,180,Personal,Rural,127,Rejected
41,Female,No,2,Graduate,Unemployed,0,235,349,793,Good,168,180,Car,Semiurban,775,Rejected
59,Female,Yes,3,Graduate,Salaried,8,1186,120,761,Good,421,480,Other,Rural,576,Approved
39,Male,Yes,0,Graduate,Salaried,26,1664,187,376,Good,99,180,Home,Rural,873,Rejected
43,Female,No,2,Not Graduate,Business,16,308,861,706,Good,572,480,Business,Rural,711,Rejected
31,Female,No,1,Graduate,Business,28,139,655,428,Good,580,480,Home,Rural,85,Rejected
31,Female,Yes,1,Graduate,Unemployed,12,1808,685,549,Good,322,360,Home,Rural,919,Rejected
44,Female,Yes,3,Not Graduate,Self-Employed,13,613,577,490,Good,197,180,Other,Semiurban,514,Rejected
56,Female,No,0,Not Graduate,Unemployed,26,1891,22,326,Good,760,300,Home,Semiurban,205,Rejected
60,Female,Yes,2,Not Graduate,Salaried,10,1940,801,692,Good,622,300,Education,Rural,534,Approved
44,Male,Yes,3,Not Graduate,Salaried,29,1098,191,326,Good,618,360,Personal,Semiurban,805,Rejected
23,Male,No,0,Graduate,Unemployed,10,1363,989,645,Good,213,180,Home,Rural,302,Rejected
42,Male,No,0,Graduate,Salaried,3,852,831,668,Bad,799,300,Car,Rural,407,Rejected
22,Female,Yes,2,Graduate,Salaried,8,642,411,662,Good,419,360,Home,Semiurban,48,Rejected
44,Female,Yes,3,Graduate,Business,25,679,644,345,Good,717,180,Car,Semiurban,165,Rejected
64,Male,No,3,Not Graduate,Salaried,17,1357,418,731,Good,245,480,Education,Rural,665,Approved
50,Female,Yes,3,Graduate,Business,25,445,136,725,Good,471,480,Other,Rural,482,Rejected
58,Female,No,3,Not Graduate,Self-Employed,18,1516,757,536,Bad,295,360,Business,Semiurban,277,Rejected
22,Female,Yes,0,Not Graduate,Unemployed,3,1090,549,502,Good,58,240,Business,Urban,675,Rejected
41,Male,Yes,3,Graduate,Salaried,11,1133,749,873,Good,155,480,Business,Rural,290,Approved
53,Male,Yes,3,Not Graduate,Business,17,150,82,870,Good,597,240,Business,Urban,509,Rejected
32,Male,No,2,Not Graduate,Business,17,1833,680,688,Good,529,180,Business,Semiurban,363,Approved
42,Female,No,1,Not Graduate,Unemployed,27,1295,315,331,Good,786,240,Personal,Rural,482,Rejected
64,Male,Yes,0,Not Graduate,Business,5,1149,262,877,Bad,687,180,Education,Rural,237,Rejected
45,Male,Yes,2,Not Graduate,Salaried,26,1326,189,590,Good,553,300,Business,Urban,711,Rejected
47,Male,No,2,Graduate,Business,10,1458,116,868,Good,348,180,Business,Urban,454,Approved
62,Female,No,2,Not Graduate,Business,25,1756,537,875,Good,597,180,Personal,Urban,944,Approved
48,Male,Yes,0,Graduate,Self-Employed,4,1591,77,517,Good,77,180,Personal,Rural,824,Rejected
36,Male,No,1,Not Graduate,Salaried,15,1073,479,384,Good,366,480,Business,Rural,589,Rejected
35,Female,No,0,Not Graduate,Unemployed,10,847,806,517,Bad,425,360,Personal,Semiurban,844,Rejected
64,Male,Yes,3,Graduate,Business,4,1119,157,500,Good,798,300,Personal,Rural,660,Rejected
23,Female,Yes,1,Graduate,Business,8,1110,585,347,Good,642,360,Personal,Rural,99,Rejected
57,Female,No,0,Not Graduate,Salaried,22,1016,513,548,Good,641,180,Business,Semiurban,915,Rejected
27,Male,No,0,Graduate,Salaried,10,719,805,800,Good,793,480,Car,Semiurban,311,Rejected
41,Male,Yes,3,Graduate,Business,28,1726,836,399,Bad,656,240,Home,Urban,463,Rejected
29,Male,No,0,Graduate,Salaried,14,129,965,868,Good,443,300,Personal,Semiurban,937,Rejected
59,Female,Yes,1,Not Graduate,Unemployed,24,810,283,627,Good,287,480,Home,Rural,97,Rejected
38,Male,Yes,2,Graduate,Salaried,16,328,782,814,Good,622,360,Home,Rural,361,Rejected
24,Male,No,0,Graduate,Unemployed,17,1778,540,431,Good,740,480,Personal,Semiurban,614,Rejected
45,Male,Yes,0,Graduate,Unemployed,20,691,925,554,Good,196,300,Home,Urban,711,Rejected
34,Female,Yes,1,Not Graduate,Salaried,25,1246,43,388,Good,560,300,Business,Rural,413,Rejected
29,Female,Yes,0,Graduate,Unemployed,13,334,503,476,Bad,296,180,Business,Urban,245,Rejected
46,Female,Yes,2,Graduate,Salaried,6,1566,235,390,Good,409,360,Home,Semiurban,714,Rejected
22,Male,Yes,3,Not Graduate,Salaried,23,1207,862,322,Good,778,180,Personal,Rural,365,Rejected
40,Male,No,3,Graduate,Business,22,724,94,325,Bad,371,180,Business,Semiurban,803,Rejected
48,Female,Yes,3,Not Graduate,Business,15,969,34,414,Good,746,480,Personal,Semiurban,961,Rejected
27,Male,Yes,2,Not Graduate,Self-Employed,8,439,921,708,Good,425,240,Car,Rural,603,Rejected
64,Male,Yes,3,Not Graduate,Self-Employed,26,937,887,855,Good,135,180,Home,Urban,42,Rejected
28,Female,No,1,Graduate,Salaried,2,975,584,812,Bad,454,480,Education,Urban,32,Rejected
55,Female,Yes,1,Graduate,Unemployed,26,1623,692,463,Bad,255,480,Education,Rural,106,Rejected
34,Female,Yes,2,Not Graduate,Salaried,20,715,495,650,Good,355,480,Business,Urban,586,Approved
37,Male,Yes,2,Graduate,Business,15,759,180,670,Good,294,180,Education,Urban,973,Approved
56,Male,Yes,2,Graduate,Self-Employed,27,1320,6,577,Good,576,300,Education,Rural,593,Rejected
60,Male,No,1,Not Graduate,Salaried,21,1944,780,688,Good,272,240,Home,Urban,277,Approved
24,Female,No,2,Graduate,Unemployed,29,1326,595,792,Good,223,360,Business,Urban,966,Approved
22,Female,Yes,2,Graduate,Unemployed,25,1253,754,416,Good,647,300,Home,Urban,381,Rejected
26,Male,No,3,Graduate,Salaried,6,1793,700,667,Good,145,300,Home,Urban,530,Approved
62,Female,No,2,Graduate,Self-Employed,27,747,475,770,Good,227,240,Car,Urban,430,Approved
24,Female,No,0,Not Graduate,Self-Employed,6,907,878,616,Good,510,300,Business,Semiurban,778,Rejected
49,Male,Yes,3,Graduate,Salaried,19,1771,733,641,Bad,243,180,Business,Semiurban,71,Rejected
38,Female,Yes,1,Not Graduate,Unemployed,0,1780,498,612,Good,526,360,Personal,Semiurban,735,Rejected
46,Male,Yes,1,Not Graduate,Self-Employed,7,1866,552,448,Bad,613,480,Personal,Semiurban,551,Rejected
64,Female,Yes,1,Not Graduate,Self-Employed,25,1222,218,622,Good,396,240,Business,Semiurban,379,Rejected
54,Male,Yes,3,Graduate,Self-Employed,0,1153,505,352,Bad,570,240,Personal,Urban,562,Rejected
30,Female,Yes,1,Not Graduate,Business,11,484,944,872,Good,107,480,Car,Semiurban,369,Approved
56,Male,No,3,Graduate,Salaried,29,296,221,630,Good,583,240,Personal,Rural,999,Rejected
34,Female,No,3,Not Graduate,Self-Employed,16,163,680,853,Good,425,360,Business,Rural,446,Rejected
51,Female,No,0,Graduate,Self-Employed,24,1587,151,896,Good,579,180,Other,Rural,261,Rejected
35,Female,No,0,Not Graduate,Salaried,28,135,285,498,Good,473,180,Business,Semiurban,469,Rejected
28,Female,No,0,Not Graduate,Business,25,690,384,502,Good,743,180,Personal,Rural,86,Rejected
34,Female,Yes,0,Not Graduate,Unemployed,9,788,279,492,Good,777,300,Business,Semiurban,175,Rejected
43,Male,Yes,0,Not Graduate,Unemployed,27,180,787,578,Good,389,360,Home,Urban,88,Rejected
60,Male,No,1,Not Graduate,Salaried,18,1840,949,624,Bad,153,300,Personal,Semiurban,53,Rejected
41,Male,Yes,1,Not Graduate,Self-Employed,8,635,767,851,Good,310,180,Business,Urban,345,Approved
36,Female,Yes,1,Not Graduate,Self-Employed,9,718,647,611,Good,703,240,Car,Semiurban,396,Rejected
38,Male,Yes,0,Not Graduate,Unemployed,10,851,208,368,Good,764,240,Education,Semiurban,793,Rejected
44,Female,Yes,2,Not Graduate,Unemployed,9,1767,94,877,Bad,447,360,Other,Semiurban,998,Rejected
46,Female,Yes,1,Graduate,Salaried,29,850,707,809,Bad,359,240,Other,Urban,33,Rejected
45,Male,No,1,Graduate,Business,27,1615,865,369,Good,330,300,Home,Rural,115,Rejected
61,Male,No,2,Graduate,Salaried,29,478,544,636,Good,571,360,Other,Rural,318,Rejected
49,Female,No,0,Not Graduate,Salaried,16,1745,732,432,Good,529,240,Home,Rural,26,Rejected
35,Female,Yes,3,Graduate,Salaried,6,688,115,615,Bad,758,240,Home,Semiurban,519,Rejected
21,Male,Yes,2,Not Graduate,Business,4,1569,59,811,Good,792,360,Car,Urban,470,Approved
45,Male,Yes,2,Graduate,Salaried,27,1632,82,375,Good,512,180,Education,Urban,321,Rejected
27,Female,Yes,1,Graduate,Salaried,27,1772,333,652,Good,84,240,Car,Semiurban,219,Approved
29,Female,No,1,Not Graduate,Salaried,19,893,856,339,Good,488,240,Home,Semiurban,480,Rejected
44,Male,Yes,0,Graduate,Self-Employed,26,914,384,579,Good,508,180,Business,Urban,939,Rejected
21,Female,No,3,Not Graduate,Business,11,1357,766,829,Good,446,480,Personal,Urban,427,Approved
64,Female,No,3,Graduate,Self-Employed,4,1288,890,374,Good,246,240,Home,Semiurban,341,Rejected
28,Male,No,2,Graduate,Self-Employed,29,206,917,638,Good,425,180,Home,Urban,354,Rejected
44,Male,No,0,Graduate,Unemployed,0,553,749,751,Bad,293,240,Car,Rural,50,Rejected
31,Female,Yes,3,Not Graduate,Salaried,9,1390,899,765,Good,449,300,Other,Rural,218,Rejected
